feature,importance
cur_dev_s,22.230165618440648
schedule_stops_remaining,10.259460792891849
schedule_target_lat,7.196532133848108
schedule_target_lon,6.332487988084729
schedule_target_address,6.061492199379653
historical_time_sin,5.315830856487513
historical_time_cos,5.015551649993833
realtime_distance_to_target_m,4.1467731490610005
realtime_speed_std_10m,2.406840627154287
historical_hour,2.2882192702250985
realtime_stopped_fraction_5m,2.021524428488795
realtime_speed_count_10m,2.0087364942986516
schedule_horizon_s,1.784887753490507
realtime_speed_mean_10m,1.7685542954460804
realtime_stopped_fraction_10m,1.7673414008479562
realtime_speed_std_2m,1.6715282364984638
realtime_packet_count_10m,1.6568231040647179
realtime_speed_std_5m,1.4430796222664417
tr_id,1.290488967389293
realtime_speed_last,1.2764446316533689
realtime_speed_mean_5m,1.2459418388155943
realtime_speed_mean_2m,1.227698985414428
realtime_stopped_fraction_2m,1.1988235339736681
context_stopped_fraction_500m,1.1401251327206017
realtime_gps_age_s,1.0648400734404317
realtime_data_age_s,0.9164289319902539
realtime_speed_count_5m,0.8351391350699758
realtime_packet_count_5m,0.7873145895514334
realtime_speed_age_s,0.7505360427887574
realtime_packet_count_2m,0.6681324362740536
realtime_speed_count_2m,0.6074276652683506
context_speed_count_500m,0.5206181839888258
context_vehicle_count_500m,0.431654108631136
context_speed_mean_500m,0.386596578667117
context_speed_median_500m,0.2758042160720412
historical_day_of_week,0.00015532732235886416
target_stop_id,0.0
