feature,importance
cur_dev_s,31.295482089272816
schedule_target_address,12.25103805105664
schedule_stops_remaining,7.762357959649991
schedule_target_lon,6.3504672999106795
historical_time_sin,5.13328075134507
historical_time_cos,5.108695714398367
schedule_target_lat,4.678668418487634
realtime_distance_to_target_m,3.3607310745161905
historical_hour,2.6863563363224516
realtime_speed_std_10m,1.758353281852603
tr_id,1.672555197324639
realtime_stopped_fraction_10m,1.5579193127976358
context_vehicle_count_500m,1.420522681167687
realtime_speed_mean_5m,1.3030790313475358
realtime_speed_std_2m,1.1182589853386444
realtime_packet_count_5m,1.0624224916341614
realtime_packet_count_10m,1.0286224222021152
realtime_stopped_fraction_5m,1.0285077871649906
realtime_gps_age_s,0.9949257009474481
realtime_speed_mean_2m,0.9599365105354138
realtime_speed_count_10m,0.8985178030187738
realtime_speed_mean_10m,0.7637142010782029
realtime_speed_std_5m,0.7632007801296339
context_speed_count_500m,0.6361902804281081
realtime_speed_count_5m,0.5908527003070334
realtime_speed_count_2m,0.5315960376428063
realtime_stopped_fraction_2m,0.5140537459490234
schedule_horizon_s,0.5122852921640682
realtime_speed_last,0.46545367704656215
context_stopped_fraction_500m,0.40998994766597185
realtime_speed_age_s,0.3985954267504414
context_speed_median_500m,0.34605568074259807
realtime_packet_count_2m,0.2589012761859374
realtime_data_age_s,0.21377351803426342
context_speed_mean_500m,0.16463853558386654
target_stop_id,0.0
historical_day_of_week,0.0
