feature,importance
cur_dev_s,21.98860130627489
schedule_stops_remaining,10.072971658951866
schedule_target_lat,7.029990244117351
schedule_target_lon,6.601438559554899
historical_time_sin,5.3676902906475465
historical_time_cos,5.146165967794693
schedule_target_address,4.996055741863064
realtime_distance_to_target_m,4.036552224768942
realtime_speed_std_10m,2.229894296555337
tr_id,2.1473640294609018
realtime_packet_count_10m,2.0416794217756307
realtime_speed_count_10m,1.8890235783058955
realtime_speed_mean_10m,1.8671761035323053
schedule_horizon_s,1.8024980356782507
realtime_speed_std_5m,1.7975935250505306
realtime_speed_std_2m,1.7631939171899835
historical_hour,1.7301633716243063
realtime_speed_mean_2m,1.6382599891640592
realtime_stopped_fraction_10m,1.5532021035278802
realtime_stopped_fraction_2m,1.4965591197580599
realtime_speed_mean_5m,1.4822760169992082
realtime_gps_age_s,1.4585240896786729
realtime_stopped_fraction_5m,1.2508146203147543
realtime_packet_count_2m,1.0612718188340444
realtime_speed_last,1.031691428423442
realtime_speed_count_5m,0.9167009669361176
realtime_speed_age_s,0.9038080851849755
realtime_data_age_s,0.8963543785109115
realtime_packet_count_5m,0.8815431100443232
context_vehicle_count_500m,0.5820990523479403
context_speed_count_500m,0.5726790904244146
realtime_speed_count_2m,0.5404958875903485
context_speed_mean_500m,0.5088617674450834
context_stopped_fraction_500m,0.4753269887526504
context_speed_median_500m,0.2414792129166817
historical_day_of_week,0.0
