number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_lambda,params_subsample,system_attrs_tpe:relative_params:0,state
0,0.5605022213119766,2026-09-26 01:01:53.342765,2026-09-26 01:01:54.092048,0 days 00:00:00.749283,0.7,0.05802857225639664,60,250,27,2.86449874364605,0.7,,COMPLETE
1,0.5855083853848139,2026-09-26 01:01:54.092048,2026-09-26 01:01:55.575352,0 days 00:00:01.483304,1.0,0.04404460046972835,20,450,23,18.66121204885133,0.7,,COMPLETE
2,0.577377272032867,2026-09-26 01:01:55.575352,2026-09-26 01:01:56.218147,0 days 00:00:00.642795,0.7999999999999999,0.027336180394137353,60,150,15,5.407232133324001,0.8999999999999999,,COMPLETE
3,0.5852284658493508,2026-09-26 01:01:56.218147,2026-09-26 01:01:56.786178,0 days 00:00:00.568031,0.7,0.03168578594140872,60,150,15,12.195678219063023,0.8999999999999999,,COMPLETE
4,0.5690422804582244,2026-09-26 01:01:56.786178,2026-09-26 01:01:58.068128,0 days 00:00:01.281950,1.0,0.02185801650879991,20,350,23,2.3231731978492904,1.0,,COMPLETE
5,0.5756548414781311,2026-09-26 01:01:58.068128,2026-09-26 01:01:59.016975,0 days 00:00:00.948847,0.7,0.03218455076693483,80,450,7,5.510391929902151,0.7999999999999999,,COMPLETE
6,0.5782961476740507,2026-09-26 01:01:59.016975,2026-09-26 01:01:59.491823,0 days 00:00:00.474848,0.8999999999999999,0.056372816083151284,80,100,11,4.099596104190034,0.8999999999999999,,COMPLETE
7,0.5768778022040011,2026-09-26 01:01:59.491823,2026-09-26 01:02:00.008642,0 days 00:00:00.516819,0.8999999999999999,0.05878338511058234,100,150,27,15.69847067631871,1.0,,COMPLETE
8,0.573368564547341,2026-09-26 01:02:00.008642,2026-09-26 01:02:00.453353,0 days 00:00:00.444711,0.7999999999999999,0.027839314496765806,40,100,7,4.894488194798021,1.0,,COMPLETE
9,0.571361089402101,2026-09-26 01:02:00.453353,2026-09-26 01:02:01.359514,0 days 00:00:00.906161,0.7,0.03123738038749523,20,250,19,12.683145550990549,1.0,,COMPLETE
10,0.5690076448140625,2026-09-26 01:02:01.359514,2026-09-26 01:02:02.675317,0 days 00:00:01.315803,0.8999999999999999,0.042841473759487214,20,350,27,4.417577363784277,0.7,"{""colsample_bytree"": 0.8999999999999999, ""learning_rate"": 0.042841473759487214, ""min_child_samples"": 20, ""n_estimators"": 350, ""num_leaves"": 27, ""reg_lambda"": 4.417577363784277, ""subsample"": 0.7}",COMPLETE
11,0.584678233462537,2026-09-26 01:02:02.675317,2026-09-26 01:02:04.000334,0 days 00:00:01.325017,1.0,0.036977946523692275,40,400,23,14.90218999859091,0.7,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.036977946523692275, ""min_child_samples"": 40, ""n_estimators"": 400, ""num_leaves"": 23, ""reg_lambda"": 14.90218999859091, ""subsample"": 0.7}",COMPLETE
12,0.5720472875174226,2026-09-26 01:02:04.000334,2026-09-26 01:02:05.496676,0 days 00:00:01.496342,0.7999999999999999,0.040829859460047975,20,400,27,13.458675401826788,0.7999999999999999,"{""colsample_bytree"": 0.7999999999999999, ""learning_rate"": 0.040829859460047975, ""min_child_samples"": 20, ""n_estimators"": 400, ""num_leaves"": 27, ""reg_lambda"": 13.458675401826788, ""subsample"": 0.7999999999999999}",COMPLETE
13,0.5755043041388851,2026-09-26 01:02:05.496676,2026-09-26 01:02:06.218120,0 days 00:00:00.721444,0.7,0.029671768078817697,20,150,15,15.402130887910086,0.7999999999999999,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.029671768078817697, ""min_child_samples"": 20, ""n_estimators"": 150, ""num_leaves"": 15, ""reg_lambda"": 15.402130887910086, ""subsample"": 0.7999999999999999}",COMPLETE
