feature,importance
cur_dev_s,17.510502106490584
section_id,9.024312443892619
schedule_stops_remaining,6.561156763325804
historical_time_sin,3.6717167405792317
schedule_target_lon,3.6060595579948145
schedule_target_lat,3.3751999288266554
realtime_distance_to_target_m,3.2702410072600743
historical_time_cos,3.085572128278112
route_signature,2.723728731702615
schedule_target_address,2.490286499898854
realtime_speed_std_10m,1.9912190254009883
stop_lat,1.9775790090286764
cur_dev_lag_2,1.9619199796775306
previous_cur_dev_s,1.9346091640809606
stop_lon,1.9182410708919062
realtime_speed_std_2m,1.70982504830305
next_lon,1.6721095697636421
delay_change_lag_2_s,1.5873808018937032
schedule_horizon_s,1.4873233898740392
historical_hour,1.4687545028460807
realtime_stopped_fraction_10m,1.3589699417608985
delay_change_lag_2_per_min,1.3185491446423419
realtime_packet_count_10m,1.3017303427195461
next_lat,1.2943779464232557
realtime_speed_std_5m,1.2284128813405184
realtime_stopped_fraction_5m,1.2282456873363832
tr_id,1.2192116482979487
section_duration_s,1.2064085637645334
realtime_stopped_fraction_2m,1.167074699760323
section_planned_progress,1.144151905820002
realtime_speed_count_10m,1.1370798946835954
realtime_speed_mean_2m,1.131751419924736
delay_change_per_min,1.0672723536550446
realtime_speed_mean_10m,1.0277731642027683
realtime_gps_age_s,1.0236271581990948
realtime_speed_mean_5m,0.937782245470204
delay_change_since_previous_s,0.8290904649496746
realtime_speed_age_s,0.7864971385996671
realtime_packet_count_2m,0.7399180395680482
realtime_speed_last,0.7087495516297598
realtime_data_age_s,0.7081276134250817
realtime_speed_count_5m,0.5872018953235054
realtime_packet_count_5m,0.5305533582578675
realtime_speed_count_2m,0.5207654169549216
lag_2_age_s,0.46145758462492037
context_stopped_fraction_500m,0.4573149714479542
context_speed_count_500m,0.41877118140101777
context_vehicle_count_500m,0.39191949294984163
planned_section_available,0.2879618010725825
context_speed_mean_500m,0.24639194999938813
previous_delay_age_s,0.24165373463355969
context_speed_median_500m,0.2211158858486759
previous_delay_available,0.04235345130245434
historical_day_of_week,0.0
lag_2_available,0.0
