feature,importance
cur_dev_s,22.36536321401143
section_id,10.384610170747434
schedule_stops_remaining,7.230596597278528
schedule_target_lon,4.299532730348683
schedule_target_lat,3.897032529880807
historical_time_sin,3.4811705139498534
realtime_distance_to_target_m,3.2992258695443453
historical_time_cos,3.2496703032983483
schedule_target_address,2.9096134622544123
route_signature,2.3733465435349697
realtime_speed_std_10m,2.226362130155453
next_lat,2.1277631298357838
stop_lon,2.055315238335594
next_lon,1.861799305593775
schedule_horizon_s,1.6549976839144858
realtime_speed_mean_10m,1.5771720664859799
realtime_speed_std_2m,1.576885717841771
realtime_gps_age_s,1.3753649074300525
realtime_speed_count_10m,1.3377306659689991
section_duration_s,1.3100338290337836
historical_hour,1.3018181664616713
realtime_speed_std_5m,1.2980192222856595
realtime_stopped_fraction_2m,1.280701266877645
stop_lat,1.269243213730348
section_planned_progress,1.1212554156356358
realtime_stopped_fraction_5m,1.0508080258535806
realtime_packet_count_10m,1.0363881905401409
realtime_speed_mean_5m,1.0017537222998298
realtime_speed_mean_2m,0.9842164337064759
tr_id,0.9207362801718693
realtime_speed_last,0.8826361324731007
realtime_speed_count_2m,0.7899583861513412
realtime_speed_age_s,0.7855837856774828
realtime_stopped_fraction_10m,0.7820654862627875
realtime_data_age_s,0.7125582213922873
planned_section_available,0.5912692046166318
realtime_packet_count_5m,0.5907282792800745
context_speed_count_500m,0.5798239848966052
realtime_speed_count_5m,0.5790187563872325
context_vehicle_count_500m,0.4281669804154004
context_stopped_fraction_500m,0.3910364738007384
context_speed_mean_500m,0.36884058017733173
realtime_packet_count_2m,0.33883584171080583
context_speed_median_500m,0.320951339750723
historical_day_of_week,0.0
