feature,importance
cur_dev_s,25.94887553640249
schedule_stops_remaining,11.021440606625045
schedule_target_address,6.819326519681794
schedule_target_lon,6.711451881879642
schedule_target_lat,6.482743224145952
historical_time_cos,3.7211636881244865
realtime_distance_to_target_m,3.594772729203024
historical_time_sin,2.8452516235744905
historical_hour,2.6176280216584433
realtime_speed_std_10m,2.180317066957645
realtime_speed_std_2m,1.9390650390495714
realtime_speed_std_5m,1.7969300596929394
realtime_speed_mean_5m,1.7340597535279116
realtime_speed_count_10m,1.67652196762897
realtime_speed_mean_10m,1.6631897348852813
realtime_packet_count_10m,1.6196992799407843
tr_id,1.608136719701625
realtime_stopped_fraction_2m,1.465300993466443
schedule_horizon_s,1.4310311034422092
realtime_stopped_fraction_10m,1.1564278468691271
realtime_gps_age_s,1.0799980567437308
realtime_speed_mean_2m,1.0451102496280527
realtime_stopped_fraction_5m,1.0240674893318764
realtime_speed_last,1.0218338324005705
realtime_speed_count_5m,0.9988335590719627
context_vehicle_count_500m,0.998646886043341
realtime_speed_age_s,0.9331526224994159
realtime_packet_count_2m,0.8014377897280984
realtime_data_age_s,0.7705272453251141
context_speed_count_500m,0.7542205796649349
realtime_packet_count_5m,0.7086933313921062
context_stopped_fraction_500m,0.6448917596000899
realtime_speed_count_2m,0.6078334317817526
context_speed_mean_500m,0.3306047646169838
context_speed_median_500m,0.24681500571414206
historical_day_of_week,0.0
